<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;5;20100816;103000;81.16000;81.33000;81.02000;81.19000;2319834
SBER;5;20100816;103500;81.19000;81.20000;80.98000;81.02000;1280592
SBER;5;20100816;104000;81.01000;81.09000;80.86000;81.05000;1255442
SBER;5;20100816;104500;81.07000;81.30000;81.00000;81.25000;1626045
SBER;5;20100816;105000;81.25000;81.29000;81.09000;81.14000;2319264
SBER;5;20100816;105500;81.14000;81.17000;81.02000;81.02000;1046517
SBER;5;20100816;110000;81.03000;81.25000;81.03000;81.06000;1542078
SBER;5;20100816;110500;81.06000;81.17000;81.02000;81.13000;881299
SBER;5;20100816;111000;81.12000;81.25000;81.04000;81.21000;1098335
SBER;5;20100816;111500;81.23000;81.29000;81.15000;81.18000;1728029
SBER;5;20100816;112000;81.18000;81.24000;81.07000;81.14000;699384
SBER;5;20100816;112500;81.15000;81.24000;81.10000;81.13000;746826
SBER;5;20100816;113000;81.13000;81.39000;81.06000;81.28000;1848648
SBER;5;20100816;113500;81.27000;81.30000;81.17000;81.17000;1013062
SBER;5;20100816;114000;81.17000;81.19000;81.05000;81.09000;772417
SBER;5;20100816;114500;81.09000;81.12000;80.80000;80.89000;2366162
SBER;5;20100816;115000;80.88000;80.90000;80.60000;80.63000;2294441
SBER;5;20100816;115500;80.62000;80.65000;80.38000;80.55000;3611745
SBER;5;20100816;120000;80.52000;80.53000;80.17000;80.35000;2479402
SBER;5;20100816;120500;80.35000;80.35000;80.02000;80.10000;2358645
SBER;5;20100816;121000;80.10000;80.22000;79.98000;80.17000;2965578
SBER;5;20100816;121500;80.17000;80.23000;79.97000;80.10000;2233708
SBER;5;20100816;122000;80.10000;80.25000;80.07000;80.21000;895380
SBER;5;20100816;122500;80.22000;80.23000;79.71000;79.71000;3602306
SBER;5;20100816;123000;79.71000;79.77000;79.40000;79.48000;5593317
SBER;5;20100816;123500;79.48000;79.55000;79.25000;79.45000;3377703
