<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SBRF-3.10;0;20100304;103000;8309.00000;1
SBRF-3.10;0;20100304;103000;8305.00000;5
SBRF-3.10;0;20100304;103000;8300.00000;1
SBRF-3.10;0;20100304;103000;8300.00000;2
SBRF-3.10;0;20100304;103000;8300.00000;8
SBRF-3.10;0;20100304;103000;8299.00000;1
SBRF-3.10;0;20100304;103000;8296.00000;70
SBRF-3.10;0;20100304;103000;8291.00000;1
SBRF-3.10;0;20100304;103000;8291.00000;10
SBRF-3.10;0;20100304;103000;8290.00000;7
SBRF-3.10;0;20100304;103000;8290.00000;8
SBRF-3.10;0;20100304;103000;8285.00000;1
SBRF-3.10;0;20100304;103000;8283.00000;5
SBRF-3.10;0;20100304;103000;8282.00000;2
SBRF-3.10;0;20100304;103000;8281.00000;10
SBRF-3.10;0;20100304;103000;8281.00000;10
SBRF-3.10;0;20100304;103000;8281.00000;5
SBRF-3.10;0;20100304;103000;8280.00000;2
SBRF-3.10;0;20100304;103000;8280.00000;1
SBRF-3.10;0;20100304;103000;8280.00000;1
SBRF-3.10;0;20100304;103000;8276.00000;3
SBRF-3.10;0;20100304;103000;8275.00000;1
SBRF-3.10;0;20100304;103000;8275.00000;1
SBRF-3.10;0;20100304;103000;8275.00000;2
SBRF-3.10;0;20100304;103000;8275.00000;8
SBRF-3.10;0;20100304;103000;8275.00000;15
SBRF-3.10;0;20100304;103000;8271.00000;10
SBRF-3.10;0;20100304;103000;8269.00000;1
SBRF-3.10;0;20100304;103000;8265.00000;1
SBRF-3.10;0;20100304;103000;8261.00000;1
SBRF-3.10;0;20100304;103000;8261.00000;1
SBRF-3.10;0;20100304;103000;8261.00000;10
SBRF-3.10;0;20100304;103000;8260.00000;1
SBRF-3.10;0;20100304;103000;8260.00000;1
SBRF-3.10;0;20100304;103000;8260.00000;6
SBRF-3.10;0;20100304;103000;8259.00000;1
SBRF-3.10;0;20100304;103000;8258.00000;1
SBRF-3.10;0;20100304;103000;8257.00000;1
SBRF-3.10;0;20100304;103000;8255.00000;1
SBRF-3.10;0;20100304;103000;8255.00000;1
SBRF-3.10;0;20100304;103000;8255.00000;5
SBRF-3.10;0;20100304;103000;8251.00000;2
SBRF-3.10;0;20100304;103000;8251.00000;4
SBRF-3.10;0;20100304;103000;8251.00000;10
SBRF-3.10;0;20100304;103000;8250.00000;2
SBRF-3.10;0;20100304;103000;8250.00000;1
SBRF-3.10;0;20100304;103000;8250.00000;8
SBRF-3.10;0;20100304;103000;8250.00000;15
SBRF-3.10;0;20100304;103000;8250.00000;5
SBRF-3.10;0;20100304;103000;8250.00000;1
SBRF-3.10;0;20100304;103000;8250.00000;2
SBRF-3.10;0;20100304;103000;8250.00000;20
SBRF-3.10;0;20100304;103000;8250.00000;10
SBRF-3.10;0;20100304;103000;8250.00000;4
SBRF-3.10;0;20100304;103000;8246.00000;5
SBRF-3.10;0;20100304;103000;8246.00000;1
SBRF-3.10;0;20100304;103000;8245.00000;1
SBRF-3.10;0;20100304;103000;8245.00000;2
SBRF-3.10;0;20100304;103000;8242.00000;50
SBRF-3.10;0;20100304;103000;8241.00000;1
SBRF-3.10;0;20100304;103000;8241.00000;10
SBRF-3.10;0;20100304;103000;8236.00000;1
SBRF-3.10;0;20100304;103000;8235.00000;1
SBRF-3.10;0;20100304;103000;8235.00000;2
SBRF-3.10;0;20100304;103000;8235.00000;1
SBRF-3.10;0;20100304;103000;8232.00000;5
SBRF-3.10;0;20100304;103000;8232.00000;1
SBRF-3.10;0;20100304;103000;8231.00000;10
SBRF-3.10;0;20100304;103000;8228.00000;5
SBRF-3.10;0;20100304;103000;8227.00000;1
SBRF-3.10;0;20100304;103000;8225.00000;1
SBRF-3.10;0;20100304;103000;8225.00000;2
SBRF-3.10;0;20100304;103000;8225.00000;2
SBRF-3.10;0;20100304;103000;8225.00000;1
SBRF-3.10;0;20100304;103000;8225.00000;8
SBRF-3.10;0;20100304;103000;8225.00000;15
SBRF-3.10;0;20100304;103000;8225.00000;2
SBRF-3.10;0;20100304;103000;8225.00000;1
SBRF-3.10;0;20100304;103000;8224.00000;25
SBRF-3.10;0;20100304;103000;8223.00000;2
SBRF-3.10;0;20100304;103000;8223.00000;1
SBRF-3.10;0;20100304;103000;8222.00000;4
SBRF-3.10;0;20100304;103000;8222.00000;13
SBRF-3.10;0;20100304;103002;8223.00000;20
SBRF-3.10;0;20100304;103002;8222.00000;20
SBRF-3.10;0;20100304;103002;8222.00000;1
SBRF-3.10;0;20100304;103002;8222.00000;3
SBRF-3.10;0;20100304;103002;8240.00000;1
SBRF-3.10;0;20100304;103002;8222.00000;3
SBRF-3.10;0;20100304;103002;8222.00000;1
SBRF-3.10;0;20100304;103002;8240.00000;1
SBRF-3.10;0;20100304;103002;8222.00000;3
SBRF-3.10;0;20100304;103002;8222.00000;1
SBRF-3.10;0;20100304;103003;8232.00000;7
SBRF-3.10;0;20100304;103003;8240.00000;4
SBRF-3.10;0;20100304;103003;8245.00000;5
SBRF-3.10;0;20100304;103003;8222.00000;2
SBRF-3.10;0;20100304;103003;8240.00000;2
SBRF-3.10;0;20100304;103004;8240.00000;4
SBRF-3.10;0;20100304;103004;8240.00000;2
SBRF-3.10;0;20100304;103004;8236.00000;2
SBRF-3.10;0;20100304;103004;8222.00000;4
SBRF-3.10;0;20100304;103004;8233.00000;1
SBRF-3.10;0;20100304;103004;8222.00000;4
SBRF-3.10;0;20100304;103004;8233.00000;2
SBRF-3.10;0;20100304;103004;8236.00000;3
SBRF-3.10;0;20100304;103004;8222.00000;2
SBRF-3.10;0;20100304;103005;8239.00000;7
SBRF-3.10;0;20100304;103005;8239.00000;28
SBRF-3.10;0;20100304;103005;8222.00000;10
SBRF-3.10;0;20100304;103005;8222.00000;2
SBRF-3.10;0;20100304;103005;8242.00000;4
SBRF-3.10;0;20100304;103005;8242.00000;10
SBRF-3.10;0;20100304;103005;8222.00000;2
SBRF-3.10;0;20100304;103005;8242.00000;1
SBRF-3.10;0;20100304;103005;8222.00000;8
SBRF-3.10;0;20100304;103005;8222.00000;6
SBRF-3.10;0;20100304;103006;8243.00000;15
SBRF-3.10;0;20100304;103006;8244.00000;5
SBRF-3.10;0;20100304;103006;8245.00000;1
SBRF-3.10;0;20100304;103006;8223.00000;2
SBRF-3.10;0;20100304;103006;8234.00000;2
SBRF-3.10;0;20100304;103006;8234.00000;18
SBRF-3.10;0;20100304;103006;8234.00000;4
SBRF-3.10;0;20100304;103006;8234.00000;16
SBRF-3.10;0;20100304;103006;8230.00000;2
SBRF-3.10;0;20100304;103007;8224.00000;8
SBRF-3.10;0;20100304;103007;8223.00000;28
SBRF-3.10;0;20100304;103007;8223.00000;4
SBRF-3.10;0;20100304;103007;8222.00000;6
SBRF-3.10;0;20100304;103007;8230.00000;10
SBRF-3.10;0;20100304;103007;8230.00000;5
SBRF-3.10;0;20100304;103007;8230.00000;3
SBRF-3.10;0;20100304;103007;8222.00000;10
SBRF-3.10;0;20100304;103007;8230.00000;1
SBRF-3.10;0;20100304;103008;8224.00000;3
SBRF-3.10;0;20100304;103008;8230.00000;1
SBRF-3.10;0;20100304;103008;8230.00000;1
SBRF-3.10;0;20100304;103008;8230.00000;8
SBRF-3.10;0;20100304;103008;8230.00000;8
SBRF-3.10;0;20100304;103008;8230.00000;5
SBRF-3.10;0;20100304;103008;8234.00000;8
SBRF-3.10;0;20100304;103008;8236.00000;15
SBRF-3.10;0;20100304;103008;8236.00000;5
SBRF-3.10;0;20100304;103008;8237.00000;12
SBRF-3.10;0;20100304;103008;8238.00000;75
SBRF-3.10;0;20100304;103008;8239.00000;4
SBRF-3.10;0;20100304;103008;8239.00000;10
SBRF-3.10;0;20100304;103008;8241.00000;170
SBRF-3.10;0;20100304;103008;8244.00000;5
SBRF-3.10;0;20100304;103008;8245.00000;1
SBRF-3.10;0;20100304;103008;8228.00000;40
SBRF-3.10;0;20100304;103008;8223.00000;8
SBRF-3.10;0;20100304;103008;8222.00000;54
SBRF-3.10;0;20100304;103008;8222.00000;2
SBRF-3.10;0;20100304;103008;8222.00000;3
SBRF-3.10;0;20100304;103008;8221.00000;7
SBRF-3.10;0;20100304;103008;8221.00000;103
SBRF-3.10;0;20100304;103008;8221.00000;1
SBRF-3.10;0;20100304;103008;8220.00000;5
SBRF-3.10;0;20100304;103008;8217.00000;20
SBRF-3.10;0;20100304;103008;8215.00000;1
SBRF-3.10;0;20100304;103008;8215.00000;2
SBRF-3.10;0;20100304;103008;8215.00000;2
SBRF-3.10;0;20100304;103008;8215.00000;1
SBRF-3.10;0;20100304;103008;8215.00000;5
SBRF-3.10;0;20100304;103008;8213.00000;1
SBRF-3.10;0;20100304;103008;8213.00000;10
SBRF-3.10;0;20100304;103008;8211.00000;15
SBRF-3.10;0;20100304;103008;8211.00000;20
SBRF-3.10;0;20100304;103008;8210.00000;25
SBRF-3.10;0;20100304;103008;8207.00000;1
SBRF-3.10;0;20100304;103008;8206.00000;200
SBRF-3.10;0;20100304;103008;8206.00000;124
SBRF-3.10;0;20100304;103008;8206.00000;46
SBRF-3.10;0;20100304;103008;8205.00000;1
SBRF-3.10;0;20100304;103008;8205.00000;2
SBRF-3.10;0;20100304;103008;8205.00000;1
SBRF-3.10;0;20100304;103008;8205.00000;3
SBRF-3.10;0;20100304;103008;8203.00000;1
SBRF-3.10;0;20100304;103008;8202.00000;1
SBRF-3.10;0;20100304;103008;8202.00000;45
